Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2023,12,2023/12,2023-03-25,438,441.5,-3.5,87.835,-91.335,-20.6874292185731
2023,13,2023/13,2023-04-01,420,411.5,8.5,91.993,-83.493,-20.289914945322
2023,14,2023/14,2023-04-08,400,399,1,91.353,-90.353,-22.6448621553885
2023,15,2023/15,2023-04-15,381,409,-28,91.673,-119.673,-29.259902200489
2023,16,2023/16,2023-04-22,413,441,-28,91.673,-119.673,-27.1367346938776
2023,17,2023/17,2023-04-29,403,401.5,1.5,89.434,-87.934,-21.9013698630137
2023,18,2023/18,2023-05-06,387,421.5,-34.5,84.957,-119.457,-28.3409252669039
2023,19,2023/19,2023-05-13,397,433.5,-36.5,80.48,-116.98,-26.9850057670127
2023,20,2023/20,2023-05-20,372,407.5,-35.5,80.453,-115.953,-28.4547239263804
2023,21,2023/21,2023-05-27,393,409,-16,79.71,-95.71,-23.40097799511
2023,22,2023/22,2023-06-03,390,426,-36,76,-112,-26.2910798122066
2023,23,2023/23,2023-06-10,398,409.5,-11.5,74,-85.5,-20.8791208791209
2023,24,2023/24,2023-06-17,385,418,-33,76,-109,-26.0765550239234
2023,25,2023/25,2023-06-24,395,403,-8,68,-76,-18.8585607940447
2023,26,2023/26,2023-07-01,381,404,-23,73.124,-96.124,-23.7930693069307
2023,27,2023/27,2023-07-08,356,417.5,-61.5,76.642,-138.142,-33.0879041916168
2023,28,2023/28,2023-07-15,419,407,12,76.962,-64.962,-15.9611793611794
2023,29,2023/29,2023-07-22,397,404.5,-7.5,77.282,-84.782,-20.9597033374536
2023,30,2023/30,2023-07-29,355,423,-68,74.403,-142.403,-33.665011820331
2023,31,2023/31,2023-08-05,404,383,21,74.723,-53.723,-14.0268929503916
2023,32,2023/32,2023-08-12,417,403,14,83.678,-69.678,-17.2898263027295
2023,33,2023/33,2023-08-19,383,414.5,-31.5,90,-121.5,-29.3124246079614
2023,34,2023/34,2023-08-26,406,423.5,-17.5,85.277,-102.777,-24.2684769775679
2023,35,2023/35,2023-09-02,388,407.5,-19.5,80.8,-100.3,-24.6134969325153
2023,36,2023/36,2023-09-09,360,410.5,-50.5,77.601,-128.101,-31.206090133983
2023,37,2023/37,2023-09-16,360,413,-53,78.561,-131.561,-31.8549636803874
2023,38,2023/38,2023-09-23,428,440,-12,78.241,-90.241,-20.5093181818182
2023,39,2023/39,2023-09-30,414,416.5,-2.5,76.962,-79.462,-19.0785114045618
2023,40,2023/40,2023-10-07,377,406.5,-29.5,74.084,-103.584,-25.4819188191882
2023,41,2023/41,2023-10-14,401,411,-10,72.804,-82.804,-20.1469586374696
2023,42,2023/42,2023-10-21,360,432.5,-72.5,75.363,-147.863,-34.1879768786127
2023,43,2023/43,2023-10-28,391,410.5,-19.5,80.48,-99.98,-24.3556638246041
2023,44,2023/44,2023-11-04,413,394,19,81.439,-62.439,-15.847461928934
2023,45,2023/45,2023-11-11,413,413,0,80.8,-80.8,-19.5641646489104
2023,46,2023/46,2023-11-18,397,433,-36,81.439,-117.439,-27.1221709006928
2023,47,2023/47,2023-11-25,375,410.5,-35.5,80.16,-115.66,-28.1753958587089
2023,48,2023/48,2023-12-02,378,393,-15,84.317,-99.317,-25.2715012722646
2023,49,2023/49,2023-12-09,435,399.5,35.5,92.632,-57.132,-14.3008760951189
2023,50,2023/50,2023-12-16,417,415,2,95.191,-93.191,-22.4556626506024
2023,51,2023/51,2023-12-23,416,410,6,98.069,-92.069,-22.4558536585366
2023,52,2023/52,2023-12-30,443,418,25,104.465,-79.465,-19.0107655502392
2024,1,2024/01,2024-01-06,397,397,0,114.699,-114.699,-28.891435768262
2024,2,2024/02,2024-01-13,418,401,17,125.892,-108.892,-27.1551122194514
2024,3,2024/03,2024-01-20,357,422.5,-65.5,132.608,-198.108,-46.8894674556213
2024,4,2024/04,2024-01-27,433,439,-6,135,-141,-32.118451025057
2024,5,2024/05,2024-02-03,449,447,2,140,-138,-30.8724832214765
2024,6,2024/06,2024-02-10,431,435.5,-4.5,135,-139.5,-32.0321469575201
2024,7,2024/07,2024-02-17,387,436.5,-49.5,129.729,-179.229,-41.0604810996564
2024,8,2024/08,2024-02-24,374,421.5,-47.5,123.973,-171.473,-40.6816132858838
2024,9,2024/09,2024-03-02,383,436.5,-53.5,121.415,-174.915,-40.0721649484536
2024,10,2024/10,2024-03-09,406,440,-34,118.536,-152.536,-34.6672727272727
2024,11,2024/11,2024-03-16,396,414,-18,114,-132,-31.8840579710145
2024,12,2024/12,2024-03-23,404,441.5,-37.5,110,-147.5,-33.4088335220838
2024,13,2024/13,2024-03-30,425,411.5,13.5,112.46,-98.96,-24.048602673147
2024,14,2024/14,2024-04-06,384,399,-15,115.658,-130.658,-32.746365914787
2024,15,2024/15,2024-04-13,408,409,-1,121.734,-122.734,-30.0083129584352
2024,16,2024/16,2024-04-20,403,441,-38,121.415,-159.415,-36.1485260770975
2024,17,2024/17,2024-04-27,378,401.5,-23.5,118.856,-142.356,-35.4560398505604
